srcStateName,srcDistrictName,Court_Efficiency_Index_PCA_Absolute
Haryana,Karnal,0.5483767132341892
Haryana,Sirsa,0.496789427827233
Haryana,Ambala,0.4776952179055528
Haryana,Bhiwani,0.49701613831209673
Haryana,Faridabad,0.4755401343118144
Haryana,Gurugram,0.45433797729167225
Haryana,Hisar,0.5161417612010397
Haryana,Jhajjar,0.4699228615700245
Haryana,Jind,0.4818381747644146
Haryana,Kurukshetra,0.5033987648966257
Haryana,Narnaul,0.4794785833170565
Haryana,Rohtak,0.5041083117335721
Haryana,Sonepat,0.4687290722416261
Haryana,Panchkula,0.49061192186342123
Haryana,Fatehabad,0.5622794105192054
Haryana,Kaithal,0.5037062657109782
Haryana,Rewari,0.48127350109239503
Haryana,Panipat,0.5073548952173382
Haryana,Nuh,0.49082537615396177
Haryana,Yamunanagar,0.4993741124537767
Haryana,Palwal,0.519639275065907
Mizoram,Aizawl,0.5067975847868986
Mizoram,Lunglei,0.5666531129550322
Mizoram,Champhai,0.569414381397845
Punjab,Ludhiana,0.49888836224787014
Punjab,Jalandhar,0.5591890725298777
Punjab,Rupnagar,0.5173045095451312
Punjab,Fatehgarh Sahib,0.514791826717377
Punjab,Patiala,0.4930506546752649
Punjab,Ferozepur,0.5262742109994335
Punjab,Amritsar,0.5063219830819543
Punjab,Faridkot,0.5337458812556939
Punjab,Gurdaspur,0.5378185759407478
Punjab,Kapurthala,0.5586519361647073
Punjab,Moga,0.5381280085535908
Punjab,Mansa,0.5293747679874256
Punjab,Sri Muktsar Sahib,0.5650377844687382
Punjab,SBS Nagar,0.5181666867710079
Punjab,Barnala,0.5384683966735727
Punjab,Bathinda,0.5297577439012515
Punjab,Hoshiarpur,0.526292119779888
Punjab,Sangrur,0.5147201086144595
Punjab,Pathankot,0.4731771663141432
Punjab,Tarn Taran,0.4922361312747416
Punjab,Mohali,0.4821644925504984
Punjab,Fazilka,0.5421735015402538
Sikkim,Namchi,0.6352990925870038
Sikkim,Mangan,0.7333429650658829
Sikkim,Gyalshing,0.6755903426187027
Sikkim,Gangtok,0.614893191919529
Sikkim,PAKYONG,0.6049530594282446
Sikkim,SORENG,0.6706928913685417
Manipur,Imphal East,0.5007529321823069
Manipur,Imphal West,0.46596314317073884
Manipur,Bishnupur,0.47537955441712426
Manipur,Thoubal,0.5269015010127152
Manipur,Senapati,0.5134184335846849
Manipur,Churachandpur,0.5007300153578482
Manipur,Ukhrul,0.4535711251487243
Manipur,Chandel,0.5707022973689594
Manipur,Tamenglong,0.381349225197916
Delhi,North East,0.44968136726515434
Delhi,Shahdara,0.42128539874893506
Delhi,East,0.4369827542472407
Delhi,North,0.41790916600798855
Delhi,North West,0.4320316470807405
Delhi,South West,0.4878586067534634
Delhi,New Delhi,0.4917918540012301
Delhi,Central,0.4262849072053043
Delhi,West,0.4298921495660453
Delhi,South,0.4689780717991113
Delhi,South East,0.4569197665994524
Telangana,Adilabad,0.5509663744436574
Telangana,Hyderabad Central,0.53054700851868
Telangana,Karimnagar,0.4570197766957163
Telangana,Khammam,0.5244325149096756
Telangana,Mahabubnagar,0.5466696187525742
Telangana,Medak,0.5406320954582574
Telangana,Nalgonda,0.49865906240961205
Telangana,Nizamabad,0.5152831937882495
Telangana,Rangareddy,0.5040172213039493
Telangana,Warangal,0.442588872249284
Telangana,Bhadradri Kothagudem,0.5052370284785542
Telangana,Hanumakonda,0.4301984918751225
Telangana,Jagitial,0.5107140333050303
Telangana,Jangoan,0.45723943884281343
Telangana,Jayashankar Bhupalapally,0.5139346096501749
Telangana,Jogulamba Gadwal,0.5609135267140866
Telangana,Kamareddy,0.5031310056601289
Telangana,Kumuram Bheem Asifabad,0.6040270179643108
Telangana,Mahabubabad,0.5072385670303208
Telangana,Mancherial,0.6066892616204209
Telangana,Medchal Malkajgiri,0.5073115429067883
Telangana,Mulugu,0.5310411895624709
Telangana,Nagarkurnool,0.5087154634598716
Telangana,Narayanpet,0.5525153559532727
Telangana,Nirmal,0.534726292086375
Telangana,Peddapalli,0.46871627609593836
Telangana,Rajanna Siricilla,0.4881580550953598
Telangana,Sangareddy,0.5350142941738082
Telangana,Siddipet,0.5341946302716055
Telangana,Suryapet,0.4639940390353375
Telangana,Vikarabad,0.4935319255384909
Telangana,Wanaparthy,0.5437849147595302
Telangana,Yadadri Bhuvanagiri,0.549534049758737
Bihar,Patna,0.2709750666837558
Bihar,Kaimur at Bhabhua,0.42309411515247475
Bihar,Samastipur,0.2678602349724639
Bihar,Saran at Chapra,0.2531102438602285
Bihar,Katihar,0.2593440524583618
Bihar,Begusarai,0.2640690211669381
Bihar,Banka,0.3045288924531786
Bihar,Purnea,0.2894315737753146
Bihar,Motihari,0.26552363773727367
Bihar,Munger,0.27409368312299864
Bihar,Madhepura,0.2944630644947007
Bihar,Rohtas Sasaram,0.31069522148584217
Bihar,Khagaria,0.3147214355083888
Bihar,Jamui,0.3618333168321362
Bihar,Aurangabad,0.331263552443606
Bihar,Darbhanga,0.2774164780669863
Bihar,Madhubani,0.271186813362195
Bihar,Lakhisarai,0.2606242055340131
Bihar,Sheikhpura,0.34134859973037024
Bihar,Saharsa,0.3116291125450579
Bihar,Supaul,0.34116480076459704
Bihar,Gopalganj,0.2833756340800949
Bihar,Araria,0.2943784139954387
Bihar,Kishanganj,0.29893037865999067
Bihar,Buxar,0.30947764911828585
Bihar,Nawada,0.29731008740097853
Bihar,Bettiah,0.2785688714111352
Bihar,Siwan,0.24998811295406193
Bihar,Nalanda,0.27828728574524936
Bihar,Sitamarhi,0.3059185479913554
Bihar,Bhojpur,0.2931665338537969
Bihar,Bhagalpur,0.30863676068995943
Bihar,Gaya,0.26140935608209076
Bihar,Jehanabad,0.3458017583059795
Bihar,Sheohar,0.3783530480444724
Bihar,Muzaffarpur,0.31336989160446205
Bihar,Vaishali,0.3144271034653242
Rajasthan,Rajsamand,0.42160882308065084
Rajasthan,Alwar,0.38265711952886944
Rajasthan,Dausa,0.41032010052649015
Rajasthan,Jaipur Metro I,0.43832611322813986
Rajasthan,Tonk,0.44282612432782625
Rajasthan,Bikaner,0.37790813594481126
Rajasthan,Ganganagar,0.409020465710528
Rajasthan,Merta Nagaur,0.4165699834204616
Rajasthan,Udaipur,0.40397706991362364
Rajasthan,Bundi,0.44614361384462237
Rajasthan,Hanumangarh,0.4233738846387354
Rajasthan,Baran,0.3998106816058059
Rajasthan,Bharatpur,0.4116019186516784
Rajasthan,Ajmer,0.4127055753164365
Rajasthan,Jhunjhunu,0.4349783140424293
Rajasthan,Pali,0.3861093746474687
Rajasthan,Kota,0.39399322523847524
Rajasthan,Jalore,0.40959133948621235
Rajasthan,Jhalawar,0.4348955938045592
Rajasthan,Pratapgarh,0.4932583465641174
Rajasthan,Dungarpur,0.4863037602954775
Rajasthan,Banswara,0.47539112043389276
Rajasthan,Sirohi,0.41721897221581494
Rajasthan,Balotra Barmer,0.36589388477005536
Rajasthan,Jodhpur Metro,0.38170084552785943
Rajasthan,Karauli,0.4258008999889512
Rajasthan,Chittorgarh,0.4170303687536915
Rajasthan,Bhilwara,0.4323899712516465
Rajasthan,Jaisalmer,0.41357482640854853
Rajasthan,Churu,0.4129582015281115
Rajasthan,Dholpur,0.43137445461878515
Rajasthan,Sikar,0.3954276471562653
Rajasthan,Sawai Madhopur,0.435434303885208
Rajasthan,Jaipur District,0.34629654971830637
Rajasthan,Jodhpur District,0.3606580974931153
Rajasthan,Jaipur Metro II,0.4014034946106638
Tamil Nadu,Dharmapuri,0.5163663163703064
Tamil Nadu,Pudukkottai,0.4193580549808059
Tamil Nadu,Tirunelveli,0.5207703249571625
Tamil Nadu,Theni,0.5727576092476475
Tamil Nadu,Namakkal,0.4621851862217278
Tamil Nadu,Nagapattinam,0.4944081798731855
Tamil Nadu,Kanniyakumari,0.4406322843558278
Tamil Nadu,Tiruchirappalli,0.5015454418021842
Tamil Nadu,Thoothukudi,0.5658295622862239
Tamil Nadu,Viluppuram,0.49763239504509965
Tamil Nadu,Vellore,0.5110657123919639
Tamil Nadu,Salem,0.49180739846127514
Tamil Nadu,Chennai,0.5323167113338553
Tamil Nadu,Virudhunagar,0.5266028304644157
Tamil Nadu,Madurai,0.47660917792312535
Tamil Nadu,The Nilgiris,0.5589518810039165
Tamil Nadu,Thanjavur,0.5050381684191894
Tamil Nadu,Coimbatore,0.5075737725604207
Tamil Nadu,Karur,0.4994640549997679
Tamil Nadu,Cuddalore,0.3593793010417815
Tamil Nadu,Ramanathapuram,0.6102657507343536
Tamil Nadu,Tiruvannamalai,0.45212558215644105
Tamil Nadu,Perambalur,0.5049837410759194
Tamil Nadu,Erode,0.5452461260273298
Tamil Nadu,Tiruvarur,0.5648686023592981
Tamil Nadu,Krishnagiri,0.5300476973706341
Tamil Nadu,Dindigul,0.3944646724241405
Tamil Nadu,Sivagangai,0.5355939944080859
Tamil Nadu,Ariyalur,0.5794519842226419
Tamil Nadu,Kancheepuram,0.4129227667127114
Tamil Nadu,Tiruvallur,0.4616459645968438
Tamil Nadu,Tiruppur,0.48062102275775465
Tamil Nadu,Mayiladuthurai,0.5724107555317082
Tamil Nadu,Kallakurichi,0.80279447064805
Tamil Nadu,Tenkasi,0.5101133121365058
Tamil Nadu,Tirupathur,0.5883525366875932
Tamil Nadu,Chengalpattu,0.6371219646448
Jammu and Kashmir,Kathua,0.49114622645958095
Jammu and Kashmir,Udhampur,0.4745588370151532
Jammu and Kashmir,Baramulla,0.46563025776002337
Jammu and Kashmir,Anantnag,0.5491802424376336
Jammu and Kashmir,Srinagar,0.4803328222953771
Jammu and Kashmir,Pulwama,0.5031621074823651
Jammu and Kashmir,Ganderbal,0.4508756467418499
Jammu and Kashmir,Budgam,0.4584857575762889
Jammu and Kashmir,Reasi,0.49196073415890207
Jammu and Kashmir,Shopian,0.45073253393430995
Jammu and Kashmir,Kupwara,0.44169502997690024
Jammu and Kashmir,Poonch,0.4883109217230072
Jammu and Kashmir,Rajouri,0.45880186729069083
Jammu and Kashmir,Ramban,0.5409304093690683
Jammu and Kashmir,Doda,0.5390738396188562
Jammu and Kashmir,Bandipora,0.44850742953380773
Jammu and Kashmir,Jammu,0.4034638816598694
Jammu and Kashmir,Kulgam,0.4871413782155627
Jammu and Kashmir,Samba,0.4861453274103248
Jammu and Kashmir,Kishtwar,0.5263017061674387
Meghalaya,East Khasi Hills,0.255840777648161
Meghalaya,West Garo Hills,0.4970572311941799
Meghalaya,West Jaintia Hills,0.28029764689426406
Meghalaya,East Garo Hills,0.4427325163407402
Meghalaya,Ri Bhoi,0.3718418094243102
Meghalaya,South West Khasi Hills,0.42156843268175886
Meghalaya,West Khasi Hills,0.5157331314684246
Meghalaya,South West Garo Hills,0.4429972304546116
Meghalaya,KHADC Court,0.49435040337584746
Meghalaya,North Garo Hills,0.5019292808127895
Meghalaya,East Jaintia Hills,0.47542915059590457
Meghalaya,South Garo Hills,0.5649723157043738
Meghalaya,Eastern West Khasi Hills,0.7822128197151393
Goa,North Goa,0.4808946549785145
Goa,South Goa,0.5117330262426205
DNH at Silvasa,Silvassa,0.44379259823236095
Himachal Pradesh,Hamirpur,0.5239219291238969
Himachal Pradesh,Kangra,0.4916276726756533
Himachal Pradesh,Sirmaur,0.5142592215918556
Himachal Pradesh,Una,0.4793753497495829
Himachal Pradesh,Solan,0.5189057995145264
Himachal Pradesh,Mandi,0.5381750021063415
Himachal Pradesh,Bilaspur,0.5216437924787499
Himachal Pradesh,Chamba,0.5393171082696834
Himachal Pradesh,Kinnaur,0.5559157820159963
Himachal Pradesh,Kullu,0.554547842488697
Himachal Pradesh,Shimla,0.5371518396642264
Ladakh,Kargil,0.5740923918384613
Ladakh,Leh,0.571697757272289
Nagaland,Dimapur,0.473092353707406
Nagaland,Kohima,0.47103331721696595
Nagaland,Mokokchung,0.5353443148354585
Nagaland,Wokha,0.39745246935149897
Nagaland,Zunheboto,0.5754837871664027
Nagaland,Phek,0.5724016387045755
Nagaland,Mon,0.4984005639130936
Nagaland,Longleng,0.6441592390690464
Nagaland,Tuensang,0.4862766279783158
Nagaland,Peren,0.33713062049797293
Nagaland,Kiphire,0.5998192150637863
Tripura,West Tripura,0.5288918267185447
Tripura,North Tripura,0.6015703425886237
Tripura,South Tripura,0.6010669661652472
Tripura,Unakoti Tripura,0.6017551750728308
Tripura,Gomati Tripura,0.5978586254452469
