srcStateName,srcDistrictName,District and Taluk Court Case type,Pending cases for a period of 0 to 1 Years,Pending cases for a period of 1 to 3 Years,Pending cases for a period of 3 to 5 Years,Pending cases for a period of 5 to 10 Years,Pending cases for a period of 10 to 20 Years,Pending cases for a period of 20 to 30 Years,Pending cases over 30 Years,Pending cases,Original pending cases,Pending Appeal cases,Pending Application cases,Pending Execution cases,Cases pending at Appearance or Service-Related stage,Cases pending at Compliance or Steps or stay stage,Cases pending at Evidence or Argument or Judgement stage,Cases pending at Pleadings or Issues or Charge stage,Cases instituted in last month,Cases disposed in last month,Cases filed by Senior Citizens,Cases filed by women,Cases delayed in disposal,,,Delay_Ratio,Old_Pending_Percentage,Pending_Case_Growth,Case_Disposal_Rate,Pending_to_Disposed_Ratio,Normalized_Case_Disposal_Rate,Normalized_Delay_Ratio,Normalized_Old_Pending_Percentage,Normalized_Pending_Case_Growth,Normalized_Pending_to_Disposed_Ratio,Court_Efficiency_Index_PCA_Absolute
Haryana,Hisar,Criminal,20418,17674,8177,3167,23,0,0,49459,45143,2133,2181,2,21583,520,24703,2633,7262,3074,968,3677,16862,,,0.340921957,0.064496563,0.937828548,0.062151233,16.08422764,0.088787476,0.237698508,0.098610693,0.937845674,0.000293711,0.52986705
Haryana,Hisar,Total,30501,25805,12406,5311,51,1,0,74075,63488,3771,3077,3738,30723,2696,34809,5827,7276,3081,5448,8672,25390,,,0.342756088,0.072398618,0.958394082,0.041592419,24.03471772,0.059417741,0.238977306,0.110692377,0.958411583,0.000438894,0.516141761
Haryana,Jhajjar,Civil,6201,5024,3383,2307,14,0,1,16930,12471,809,1133,2517,6458,1605,6419,2065,51,1,3824,2594,7850,,,0.463646565,0.137144882,0.999881873,5.91E-05,8465,8.44E-05,0.323264884,0.209684847,0.999900132,0.154577992,0.436214999
Haryana,Jhajjar,Criminal,10141,7817,4565,2663,11,0,0,25197,21753,880,2215,349,10666,834,11232,2402,2838,900,565,1879,11253,,,0.446583062,0.106119533,0.964243194,0.03571712,27.96559378,0.051024458,0.311367823,0.162249278,0.964260802,0.000510675,0.483104409
Haryana,Jhajjar,Total,16342,12841,7948,4970,25,0,1,42127,34224,1689,3348,2866,17124,2439,17651,4467,2889,901,4389,4473,19103,,,0.453451386,0.118590961,0.978589062,0.021387201,46.70399113,0.030553144,0.316156574,0.18131721,0.978606932,0.000852854,0.469922862
Haryana,Jind,Civil,6584,4387,2456,1395,15,0,0,14837,10612,1552,593,2080,4927,924,6313,2673,40,6,2742,2178,5740,,,0.386844588,0.095026284,0.999528238,0.000404367,2119.571429,0.000577667,0.269716807,0.145288482,0.999546491,0.03870515,0.47588095
Haryana,Jind,Criminal,8602,7621,4600,1926,18,1,0,22768,20051,1214,1503,0,8389,292,12038,2047,631,359,626,1734,9797,,,0.43027801,0.085423163,0.984189029,0.015767052,63.24444444,0.02252436,0.299999571,0.130605988,0.984207001,0.001154897,0.483590648
Haryana,Jind,Total,15186,12008,7056,3321,33,1,0,37605,30663,2766,2096,2080,13316,1216,18351,4720,671,365,3368,3912,15537,,,0.413152157,0.089214487,0.990267511,0.009705898,102.7459016,0.013865569,0.288059039,0.136402655,0.990285594,0.001876226,0.481838175
Haryana,Kurukshetra,Civil,7468,5343,3198,1479,82,3,1,17574,12085,1772,959,2758,6735,957,7912,1970,90,5,2980,3080,5911,,,0.336330014,0.089046942,0.999658606,0.000284495,2929,0.000406421,0.234496902,0.13614649,0.999676861,0.053485994,0.485094328
Haryana,Kurukshetra,Criminal,10304,9421,4857,1592,19,0,0,26193,22501,1660,2032,0,10255,320,14030,1581,1070,810,1069,1923,9364,,,0.357486447,0.061502634,0.969038711,0.030923112,32.297164,0.044175875,0.249247646,0.094033188,0.969056407,0.000589773,0.512483224
Haryana,Kurukshetra,Total,17772,14764,8055,3071,101,3,1,43767,34586,3432,2991,2758,16990,1277,21942,3551,1160,815,4049,5003,15275,,,0.348999269,0.072564431,0.981356242,0.01862091,53.63602941,0.0266013,0.243330193,0.110945894,0.981374162,0.000979439,0.503398765
Haryana,Narnaul,Civil,7498,6769,4656,2735,26,1,0,21685,15496,2130,1617,2442,7684,2012,8384,3605,43,2,5407,3373,9291,,,0.42843309,0.127363276,0.999861662,9.22E-05,7228.333333,0.000131751,0.298713252,0.194729461,0.99987992,0.131995423,0.447873109
Haryana,Narnaul,Criminal,9518,7543,4593,1583,28,0,0,23265,20932,1081,1045,205,10027,521,9686,2981,415,249,946,1872,8481,,,0.364523339,0.069242672,0.989254706,0.010702312,93.06,0.015289018,0.254153926,0.105867159,0.989272771,0.001699354,0.498044613
Haryana,Narnaul,Total,17016,14312,9249,4318,54,1,0,44950,36428,3211,2662,2647,17711,2533,18070,6586,458,251,6353,5245,17772,,,0.395363841,0.097283709,0.994393896,0.005583858,178.3730159,0.00797694,0.275656622,0.148739926,0.994412054,0.003257241,0.479478583
