srcStateName,srcDistrictName,District and Taluk Court Case type,Pending cases for a period of 0 to 1 Years,Pending cases for a period of 1 to 3 Years,Pending cases for a period of 3 to 5 Years,Pending cases for a period of 5 to 10 Years,Pending cases for a period of 10 to 20 Years,Pending cases for a period of 20 to 30 Years,Pending cases over 30 Years,Pending cases,Original pending cases,Pending Appeal cases,Pending Application cases,Pending Execution cases,Cases pending at Appearance or Service-Related stage,Cases pending at Compliance or Steps or stay stage,Cases pending at Evidence or Argument or Judgement stage,Cases pending at Pleadings or Issues or Charge stage,Cases instituted in last month,Cases disposed in last month,Cases filed by Senior Citizens,Cases filed by women,Cases delayed in disposal,,,Delay_Ratio,Old_Pending_Percentage,Pending_Case_Growth,Case_Disposal_Rate,Pending_to_Disposed_Ratio,Normalized_Case_Disposal_Rate,Normalized_Delay_Ratio,Normalized_Old_Pending_Percentage,Normalized_Pending_Case_Growth,Normalized_Pending_to_Disposed_Ratio,Court_Efficiency_Index_PCA_Absolute
Bihar,Rohtas Sasaram,Total,20501,13324,16932,33762,16357,2693,334,103903,98786,1902,2279,935,56847,6851,35010,2300,1515,757,9743,16384,48068,,,0.462619341,0.511491377,0.992704804,0.007285571,137.0751979,0.010407959,0.32254868,0.78203422,0.992722932,0.002503108,0.310695221
Bihar,Khagaria,Civil,1146,779,609,1167,689,120,32,4542,3578,339,289,335,1395,698,1311,252,71,44,1262,1023,2531,,,0.557120845,0.441998679,0.990094651,0.00968523,100.9333333,0.013836043,0.388437269,0.675784789,0.990112731,0.001843127,0.32300533
Bihar,Khagaria,Criminal,9427,7590,7852,13126,7644,975,139,46753,43581,516,443,0,22563,2644,19181,389,1121,827,2152,7808,26945,,,0.576314326,0.468066903,0.982290285,0.017688326,56.46497585,0.025269037,0.401819398,0.715641264,0.982308223,0.001031098,0.313924029
Bihar,Khagaria,Total,10573,8369,8461,14293,8333,1095,171,51295,47159,855,732,335,23958,3342,20492,641,1192,871,3414,8831,29476,,,0.574625702,0.465767311,0.983000624,0.016979881,58.82454128,0.024256974,0.400642051,0.71212535,0.983018574,0.001074185,0.314721436
Bihar,Jamui,Civil,1583,1247,658,1504,613,63,21,5689,4850,282,385,159,2028,954,2240,369,108,71,1346,1299,2233,,,0.392442882,0.386818981,0.987346221,0.012478032,79.01388889,0.017825759,0.273620064,0.591418924,0.987364251,0.00144286,0.372784782
Bihar,Jamui,Criminal,8841,7528,7678,14840,7980,603,54,47524,46403,201,915,0,24594,1324,20184,958,933,591,1087,4470,10357,,,0.217927407,0.493992635,0.987543398,0.01243556,80.27702703,0.017765086,0.151943923,0.755279879,0.987561432,0.001465926,0.360531636
Bihar,Jamui,Total,10424,8775,8336,16344,8593,666,75,53213,51253,483,1300,159,26622,2278,22424,1327,1041,662,2433,5769,12590,,,0.236591874,0.482542188,0.987540873,0.012440335,80.26093514,0.017771908,0.164957212,0.737772953,0.987558906,0.001465632,0.361833317
Bihar,Aurangabad,Civil,2223,1942,1038,2237,1377,212,46,9075,7463,599,653,360,4587,597,3717,172,167,139,2260,1986,3419,,,0.376707801,0.426619656,0.984574703,0.015315117,64.82142857,0.021878738,0.262649209,0.652271348,0.984592682,0.001183694,0.361587886
Bihar,Aurangabad,Criminal,10330,10319,8741,15379,8850,615,45,54279,53001,528,747,2,25229,3248,21624,2115,1166,868,1589,6066,28164,,,0.518865144,0.458529845,0.98399042,0.015991157,62.46144994,0.02284451,0.361764527,0.701059776,0.984008389,0.001140598,0.326201896
Bihar,Aurangabad,Total,12553,12261,9779,17616,10227,827,91,63354,60464,1127,1400,362,29816,3845,25341,2287,1333,1007,3849,8052,31583,,,0.498508405,0.453965749,0.984089654,0.015894562,62.85119048,0.022706518,0.347571348,0.694081594,0.984107624,0.001147715,0.331263552
Bihar,Darbhanga,Civil,4133,3096,2084,4265,2182,359,224,16343,14477,327,785,679,3033,4641,6953,1195,232,112,4788,2429,10142,,,0.620533529,0.430127264,0.993086148,0.006852668,144.6283186,0.009789525,0.432650028,0.657634233,0.993104282,0.002641034,0.315531846
Bihar,Darbhanga,Criminal,15509,11210,11621,24293,16849,1854,274,81610,67735,648,1448,0,37975,6463,32556,3807,1531,859,2133,6822,55264,,,0.677163618,0.530198135,0.989462205,0.010525542,94.89534884,0.015036488,0.472133808,0.810635533,0.989480273,0.001732869,0.269784777
Bihar,Darbhanga,Total,19642,14306,13705,28558,19031,2213,498,97953,82212,975,2233,679,41008,11104,39509,5002,1763,971,6921,9251,65406,,,0.667721584,0.51350634,0.990076975,0.009912816,100.7746914,0.014161166,0.465550608,0.785114956,0.990095055,0.00184023,0.277416478
Bihar,Madhubani,Civil,3670,2562,1702,3465,1461,234,65,13159,11558,412,616,462,3561,1227,4733,864,158,171,3106,1643,6182,,,0.469756839,0.397036474,0.986930091,0.012993921,76.50581395,0.018562744,0.327525105,0.607040751,0.986948113,0.00139706,0.356338222
Bihar,Madhubani,Criminal,11838,12513,15424,27032,19193,2863,324,89187,87144,1156,883,0,47317,1951,30879,855,1224,1114,3975,16172,62042,,,0.695631699,0.55402072,0.987498318,0.01249047,79.98834081,0.017843528,0.485010173,0.847058585,0.987516351,0.001460654,0.258628471
Bihar,Madhubani,Total,15508,15075,17126,30497,20654,3097,389,102346,98702,1568,1499,462,50878,3178,35612,1719,1382,1285,7081,17815,68224,,,0.666595015,0.533840757,0.987434903,0.012555326,79.58475894,0.017936181,0.464765139,0.816204846,0.987452934,0.001453284,0.271186813
Bihar,Lakhisarai,Civil,923,781,431,851,662,87,16,3751,3140,137,215,258,1303,527,1560,90,47,32,1198,729,2445,,,0.651652452,0.430703625,0.991204691,0.008528785,113.6666667,0.012183978,0.454346845,0.658515448,0.991222791,0.002075649,0.311112774
Bihar,Lakhisarai,Criminal,4928,4410,5510,9129,6965,1326,160,32428,31553,214,661,0,17915,849,10218,539,716,412,3333,2428,24228,,,0.747109069,0.542107373,0.987264485,0.012704678,78.51815981,0.01814954,0.52090136,0.828843918,0.987282514,0.001433807,0.25479783
Bihar,Lakhisarai,Total,5851,5191,5941,9980,7627,1413,176,36179,34693,351,876,258,19218,1376,11778,629,763,444,4531,3157,26673,,,0.737230514,0.530569375,0.987700387,0.012271973,81.3011236,0.017531391,0.514013808,0.811203133,0.987718423,0.001484627,0.260624206
Bihar,Sheikhpura,Civil,591,561,330,415,194,30,8,2129,1668,125,255,81,703,443,896,82,43,37,253,468,1264,,,0.59342723,0.303755869,0.982159624,0.017370892,56.02631579,0.02481556,0.413750902,0.464421287,0.982177559,0.001023087,0.373948985
Bihar,Sheikhpura,Criminal,3886,3203,2517,4744,1551,92,6,15999,15746,65,185,0,9051,509,6150,181,617,362,212,1619,9767,,,0.6104375,0.3995625,0.9773125,0.022625,44.07438017,0.032321429,0.425610848,0.610902866,0.977330347,0.000804835,0.337037207
Bihar,Sheikhpura,Total,4477,3764,2847,5159,1745,122,14,18128,17414,190,440,81,9754,952,7046,263,660,399,465,2087,11031,,,0.608472613,0.388328093,0.977935904,0.022008936,45.32,0.031441337,0.424240884,0.593726251,0.977953762,0.000827581,0.3413486
Bihar,Saharsa,Civil,2360,2031,1295,2402,1430,309,57,9884,9029,195,394,266,4152,1633,3079,585,125,103,2367,1371,5143,,,0.520283257,0.424683864,0.989479009,0.010419828,95.03846154,0.014885469,0.362753268,0.649311659,0.989497077,0.001735482,0.336077021
Bihar,Saharsa,Criminal,10167,7083,7202,17205,12344,1350,134,55485,53049,507,1929,0,31364,5603,16463,1137,956,663,1189,3844,21491,,,0.387322928,0.559294236,0.988033017,0.01194896,83.56174699,0.017069943,0.270050316,0.855121419,0.98805106,0.001525908,0.307282353
Bihar,Saharsa,Total,12527,9114,8497,19607,13774,1659,191,65369,62078,702,2323,266,35516,7236,19542,1722,1081,766,3556,5215,26634,,,0.407434603,0.538947529,0.988266789,0.011717913,85.22685789,0.016739876,0.284072631,0.82401274,0.988284836,0.001556314,0.311629113
Bihar,Supaul,Civil,1800,1382,1027,2246,722,110,18,7305,6163,341,497,304,4045,465,2510,283,84,24,1295,1178,3237,,,0.443060498,0.423761292,0.996578155,0.003284971,292.2,0.004692816,0.308911812,0.647901111,0.996596353,0.005335817,0.345265545
Bihar,Supaul,Criminal,12101,8600,8542,17273,4662,438,9,51625,49668,509,1441,0,27880,1339,20982,1414,763,295,1436,5620,23603,,,0.457192113,0.433541239,0.994266455,0.005714175,174.4087838,0.008163107,0.318764693,0.66285396,0.994284611,0.003184851,0.340584087
Bihar,Supaul,Total,13901,9982,9569,19519,5384,548,27,58930,55831,850,1938,304,31925,1804,23492,1697,847,319,2731,6798,26840,,,0.455447897,0.432336122,0.994569921,0.00541311,184.15625,0.007733015,0.317548587,0.661011421,0.994588082,0.003362847,0.341164801
Bihar,Gopalganj,Civil,4619,4255,2529,5345,3316,866,290,21220,17547,1146,1578,949,4489,8062,7819,837,256,526,6558,2542,13134,,,0.618915225,0.462607794,0.975166109,0.024786768,40.26565465,0.035409668,0.43152171,0.707294672,0.975183916,0.000735285,0.312591576
Bihar,Gopalganj,Criminal,15268,9453,13186,23207,14195,2440,266,78015,75132,2049,834,0,45439,5342,25496,1322,1990,1415,3547,7899,54919,,,0.703945345,0.514099672,0.981849877,0.018137305,55.09533898,0.025910436,0.490806634,0.786022119,0.981867806,0.001006087,0.275433548
Bihar,Gopalganj,Total,19887,13708,15715,28552,17511,3306,556,99235,92679,3195,2412,949,49928,13404,33315,2159,2246,1941,10105,10441,68053,,,0.685769277,0.503093635,0.980430489,0.019559434,51.09938208,0.027942049,0.478133869,0.769194666,0.980448392,0.000933118,0.283375634
Bihar,Araria,Civil,2105,1734,1027,1518,820,248,74,7526,5768,181,1288,289,2889,521,1244,364,131,154,1093,1698,3768,,,0.500597848,0.353394447,0.979407466,0.020459678,48.55483871,0.029228112,0.349028155,0.54031517,0.979425351,0.000886652,0.371781143
Bihar,Araria,Criminal,13579,9784,11413,20455,13107,1849,114,70301,68314,1221,766,0,38270,1650,19614,20,1428,1007,3259,12851,45553,,,0.647961651,0.505319906,0.985661859,0.014323917,69.74305556,0.020462738,0.451773536,0.772598476,0.985679858,0.001273567,0.286097058
Bihar,Araria,Total,15684,11518,12440,21973,13927,2097,188,77827,74082,1402,2054,289,41159,2171,20858,384,1559,1161,4352,14549,49321,,,0.633717942,0.490633191,0.985069641,0.01491751,66.9767642,0.021310729,0.441842499,0.750143526,0.985087629,0.001223052,0.294378414
Bihar,Kishanganj,Civil,981,366,227,389,150,22,0,2135,1656,62,210,207,613,190,1248,63,85,47,448,412,674,,,0.315543071,0.262640449,0.97752809,0.022003745,44.47916667,0.031433922,0.220003774,0.401558713,0.97754594,0.000812227,0.437973169
Bihar,Kishanganj,Criminal,4967,3144,4353,8142,3690,139,18,24453,24254,43,156,0,11997,1695,10226,448,541,317,900,3812,16491,,,0.674368202,0.490267441,0.986995992,0.012963114,76.89622642,0.018518735,0.47018478,0.74958432,0.987014016,0.00140419,0.286803266
Bihar,Kishanganj,Total,5948,3510,4580,8531,3840,161,18,26588,25910,105,366,207,12610,1885,11474,511,626,364,1348,4224,17165,,,0.645567716,0.471999699,0.986272519,0.013689872,72.84383562,0.01955696,0.45010443,0.721654232,0.986290529,0.001330189,0.298930379
Bihar,Buxar,Civil,3819,3614,1930,3562,2001,557,308,15791,13064,734,1312,681,7306,2188,5649,646,185,90,4375,2532,7889,,,0.499556738,0.40704154,0.994237589,0.005699088,173.5274725,0.008141554,0.348302269,0.62233779,0.994255744,0.003168757,0.343732991
Bihar,Buxar,Criminal,8253,8026,7672,13951,9043,1999,292,49236,47930,623,683,0,27066,1333,19763,863,746,613,679,2712,26991,,,0.548185308,0.513536568,0.987529703,0.012449987,80.18892508,0.017785695,0.38220721,0.785161173,0.987547736,0.001464317,0.298477505
Bihar,Buxar,Total,12072,11640,9602,17513,11044,2556,600,65027,60994,1357,1995,681,34372,3521,25412,1509,931,703,5054,5244,34880,,,0.536384327,0.487682229,0.989173894,0.010810728,92.36789773,0.015443897,0.373979298,0.745631713,0.989191957,0.001686715,0.309477649
Bihar,Nawada,Civil,3270,2751,1476,4062,456,93,26,12134,10981,379,611,161,5574,1503,4390,665,188,74,2045,2933,7771,,,0.640379069,0.382117841,0.99381953,0.006098063,161.7866667,0.008711519,0.446486787,0.584231213,0.993837678,0.00295436,0.330229187
Bihar,Nawada,Criminal,15023,12738,11536,23185,8606,1169,91,72348,71179,307,811,0,39789,1737,29667,1118,1000,825,2344,12549,51858,,,0.716775629,0.456827323,0.988583118,0.01140306,87.58837772,0.016290086,0.499752199,0.698456739,0.98860117,0.001599437,0.291787001
Bihar,Nawada,Total,18293,15489,13012,27247,9062,1262,117,84482,82160,686,1422,161,45363,3240,34057,1783,1188,899,4389,15482,59629,,,0.705810636,0.446101583,0.989346969,0.010641194,93.86888889,0.015201706,0.492107158,0.682057839,0.989365036,0.001714125,0.297310087
Bihar,Bettiah,Civil,3992,2697,1857,3917,1447,313,35,14258,12234,888,410,613,4958,1896,5416,830,261,232,2683,2259,7529,,,0.528017393,0.400589102,0.983659443,0.016270426,61.19313305,0.023243465,0.368145682,0.612472467,0.983677406,0.001117438,0.347028853
Bihar,Bettiah,Criminal,22456,19092,17004,42016,16197,2685,147,119597,104964,617,5051,1,60357,8869,43614,1011,2163,1479,3745,7558,86705,,,0.724970317,0.510418234,0.987625211,0.012366428,80.80878378,0.017666325,0.505465721,0.780393461,0.987643246,0.001475636,0.27041015
Bihar,Bettiah,Total,26448,21789,18861,45933,17644,2998,182,133855,117198,1505,5461,614,65315,10765,49030,1841,2424,1711,6428,9817,94234,,,0.703995338,0.498722508,0.987210136,0.012782393,78.18633178,0.018260561,0.490841491,0.76251152,0.987228164,0.001427748,0.278568871
Bihar,Siwan,Civil,5205,4108,2261,4793,3001,856,286,20510,16778,1116,1589,1009,8388,2163,3150,1024,307,147,6688,3871,12235,,,0.59650919,0.435668666,0.99278436,0.007166886,138.5810811,0.010238409,0.415899715,0.666106645,0.992802489,0.002530607,0.317546435
Bihar,Siwan,Criminal,11064,11508,14073,30803,15417,3029,234,86128,84219,924,985,0,49669,2592,20848,13,1489,1422,5129,12777,69791,,,0.810307794,0.574521938,0.983478271,0.016510119,60.52565004,0.023585884,0.564964943,0.8784035,0.98349623,0.001105249,0.233890145
Bihar,Siwan,Total,16269,15616,16334,35596,18418,3885,520,106638,100997,2040,2574,1009,58057,4755,23998,1037,1796,1569,11817,16648,82026,,,0.76919326,0.547820216,0.985277431,0.014713191,67.92229299,0.021018845,0.536298958,0.837578451,0.985295423,0.001240318,0.249988113
Bihar,Nalanda,Civil,2800,2598,1711,2865,1532,321,110,11937,10145,526,676,590,6619,588,4465,262,158,81,1725,2779,7013,,,0.587451834,0.404422851,0.993131178,0.006785056,145.5731707,0.009692937,0.409584721,0.618334,0.993149313,0.002658288,0.330810107
Bihar,Nalanda,Criminal,16439,18538,19255,34200,20109,2222,269,111032,108911,1363,759,0,71118,1887,34618,3089,1345,1036,1173,3604,77642,,,0.699269587,0.511559626,0.990660434,0.009330559,107.0703954,0.013329371,0.48754659,0.782138569,0.990678525,0.001955195,0.272643357
Bihar,Nalanda,Total,19239,21136,20966,37065,21641,2543,379,122969,119056,1889,1435,590,77737,2475,39083,3351,1503,1117,2898,6383,84655,,,0.68841994,0.501162885,0.990908352,0.009083516,109.990161,0.012976452,0.47998197,0.766242685,0.990926446,0.002008512,0.278287286
Bihar,Sitamarhi,Civil,2678,2401,1209,2776,729,148,40,9981,7630,307,392,534,1707,2988,2051,726,129,333,1677,1614,5111,,,0.512021639,0.369965939,0.966539772,0.033360048,29.88323353,0.047657212,0.356993081,0.565651812,0.966557421,0.000545693,0.370086732
Bihar,Sitamarhi,Criminal,10186,12537,14316,29670,5757,461,43,72970,61547,297,528,0,41478,2585,18487,137,789,540,1036,5368,43018,,,0.589521865,0.492401091,0.992586096,0.0074002,134.8798521,0.010571714,0.411027993,0.75284652,0.992604221,0.002463019,0.297095271
Bihar,Sitamarhi,Total,12864,14938,15525,32446,6486,609,83,82951,69177,604,920,534,43185,5573,20538,863,918,873,2713,6982,48129,,,0.580203009,0.477673835,0.989463786,0.010524159,94.90961098,0.015034512,0.404530676,0.730329586,0.989481855,0.001733129,0.305918548
Bihar,Bhojpur,Civil,5604,5106,2714,5499,2968,647,161,22699,18755,1003,1667,1274,11889,3581,6375,845,273,147,1631,2080,13706,,,0.603788546,0.408590308,0.993480176,0.006475771,153.3716216,0.009251101,0.420975047,0.624705748,0.993498318,0.002800694,0.326336482
Bihar,Bhojpur,Criminal,16646,14858,18908,29028,16233,2248,199,98120,96464,567,1089,0,57401,5688,26493,1759,1614,1246,1431,5201,67788,,,0.690861284,0.486215999,0.987291202,0.012698607,78.68484362,0.018140867,0.481684131,0.74338995,0.98730923,0.001436851,0.285485438
Bihar,Bhojpur,Total,22250,19964,21622,34527,19201,2895,360,120819,115219,1570,2756,1274,69290,9269,32868,2604,1887,1393,3062,7281,81494,,,0.674507532,0.471635491,0.988462175,0.011529548,86.67073171,0.016470783,0.470281925,0.721097383,0.988480225,0.00158268,0.293166534
Bihar,Bhagalpur,Civil,4147,3180,2238,5161,2695,511,273,18205,15418,841,1185,759,7643,2871,6840,844,186,93,3106,2001,10204,,,0.560474569,0.474568823,0.994836867,0.005108206,193.6702128,0.007297437,0.390775561,0.725582241,0.994855034,0.00353658,0.307476292
Bihar,Bhagalpur,Criminal,16746,14524,12491,22590,12894,1139,142,80526,79066,698,761,0,42319,2343,32505,1884,1355,918,2670,8249,49438,,,0.613930731,0.456554944,0.988587679,0.011399903,87.62350381,0.016285576,0.428046408,0.698040291,0.988605731,0.001600079,0.30888543
Bihar,Bhagalpur,Total,20893,17704,14729,27751,15589,1650,415,98731,94484,1539,1946,759,49962,5214,39345,2728,1541,1011,5776,10250,59642,,,0.604079731,0.459881295,0.98975003,0.010239841,97.56027668,0.014628345,0.421178067,0.703126047,0.989768104,0.001781532,0.308636761
Bihar,Gaya,Civil,4920,4508,2930,5880,2471,377,81,21167,18041,1043,1070,1013,9198,2740,7885,757,255,55,4355,4541,11669,,,0.551256614,0.416147014,0.997354497,0.002598262,377.9821429,0.003711802,0.384348594,0.636259418,0.99737271,0.006902271,0.329789468
Bihar,Gaya,Criminal,14899,19132,21005,45959,23345,2530,168,127038,121721,1695,2753,0,85828,5404,30826,2293,2300,1600,1794,8114,91327,,,0.718889475,0.566770834,0.987397571,0.012594558,79.34915678,0.017992225,0.50122602,0.866552609,0.987415602,0.001448982,0.249955939
Bihar,Gaya,Total,19819,23640,23935,51839,25816,2907,249,148205,139762,2738,3823,1013,95026,8144,38711,3050,2555,1655,6149,12655,102996,,,0.694951621,0.545261325,0.988826363,0.011166889,89.49577295,0.015952699,0.484536007,0.833666088,0.98884442,0.001634268,0.261409356
Bihar,Jehanabad,Civil,1823,1463,699,1579,466,70,18,6118,4775,302,751,257,2243,972,2609,271,75,87,1594,1053,3031,,,0.495342376,0.34858637,0.985618565,0.014218009,69.52272727,0.020311442,0.345363921,0.532963961,0.985636563,0.001269543,0.371310278
Bihar,Jehanabad,Criminal,10457,6986,6708,10321,4292,339,26,39129,37656,245,508,0,19391,1360,16605,525,867,614,661,2156,23436,,,0.598926655,0.382775364,0.984283159,0.015691285,63.62439024,0.022416122,0.417585226,0.58523652,0.984301133,0.001161835,0.341824572
Bihar,Jehanabad,Total,12280,8449,7407,11900,4758,409,44,45247,42431,547,1259,257,21634,2332,19214,796,942,701,2255,3209,26467,,,0.584931931,0.378160361,0.984485502,0.015492397,64.45441595,0.022131996,0.407827787,0.578180505,0.98450348,0.001176992,0.345801758
Bihar,Sheohar,Civil,446,338,209,446,174,13,0,1626,1390,91,58,87,765,130,647,84,35,23,255,188,911,,,0.559926245,0.389059619,0.985248924,0.014136447,67.75,0.020194925,0.390393257,0.594844702,0.985266916,0.001237172,0.345203024
Bihar,Sheohar,Criminal,2581,3068,2516,2442,494,19,4,11124,11008,74,38,0,5672,387,4416,337,308,209,343,1700,6993,,,0.62858427,0.265977528,0.981123596,0.018786517,52.97142857,0.026837881,0.438263186,0.406660871,0.981141512,0.000967303,0.383239028
Bihar,Sheohar,Total,3027,3406,2725,2888,668,32,4,12750,12398,165,96,87,6437,517,5063,421,343,232,598,1888,7904,,,0.619872951,0.281703396,0.981726923,0.018194651,54.72103004,0.025992359,0.432189458,0.430704613,0.981744851,0.000999252,0.378353048
Bihar,Muzaffarpur,Civil,7316,5814,3985,6029,3467,714,173,27498,23410,637,1490,1798,9476,5677,9919,1335,400,149,5296,5605,9817,,,0.3569948,0.377577366,0.994545256,0.005418379,183.32,0.007740541,0.248904858,0.577289148,0.994563417,0.003347577,0.378409928
Bihar,Muzaffarpur,Criminal,28141,25110,30243,43800,33363,6058,710,167425,148607,715,1693,0,104231,4666,53970,2290,2297,1242,3802,11876,89591,,,0.535108048,0.501302068,0.992575825,0.007418203,134.694288,0.010597432,0.373089448,0.766455485,0.99259395,0.002459631,0.302687285
Bihar,Muzaffarpur,Total,35457,30924,34228,49829,36830,6772,883,194923,172017,1352,3183,1798,113707,10343,63889,3625,2697,1391,9098,17481,99408,,,0.509983378,0.483850116,0.992858755,0.007136115,140.0308908,0.010194449,0.355571959,0.739772683,0.992876886,0.002557081,0.313369892
Bihar,Vaishali,Civil,6299,5419,3359,5909,2794,661,105,24546,21093,868,1397,1188,7210,9954,6424,957,326,280,6142,4724,13602,,,0.554120666,0.385749786,0.988552573,0.011406689,87.35231317,0.01629527,0.386345476,0.589784201,0.988570624,0.001595126,0.345890192
Bihar,Vaishali,Criminal,13934,12154,18384,19806,17366,2674,182,84500,82816,605,1079,0,46285,4098,32675,1424,1689,1382,2692,7823,51662,,,0.61137738,0.473698536,0.98363333,0.016354836,61.09906001,0.023364051,0.426266153,0.724251633,0.983651292,0.00111572,0.305289937
Bihar,Vaishali,Total,20233,17573,21743,25715,20160,3335,287,109046,103909,1473,2476,1188,53495,14052,39099,2381,2015,1662,8834,12547,65264,,,0.598494227,0.453905197,0.984749695,0.015241135,65.57185809,0.021773049,0.417283727,0.693989014,0.984767677,0.001197397,0.314427103
Rajasthan,Rajsamand,Civil,3712,3029,1467,1744,365,16,5,10338,6300,492,2467,1079,3238,2792,3723,558,126,57,2225,1424,5035,,,0.486991005,0.206016056,0.994390173,0.005513106,178.2413793,0.007875865,0.339541156,0.314984011,0.994408332,0.003254837,0.422685241
Rajasthan,Rajsamand,Criminal,8901,7951,4445,6111,286,0,0,27694,23568,622,3503,0,12770,1924,11632,1351,1021,694,881,2151,13832,,,0.499440332,0.230980321,0.974905218,0.025058675,39.84748201,0.035798107,0.348221109,0.353152611,0.97492302,0.000727648,0.42115863
Rajasthan,Rajsamand,Total,12613,10980,5912,7855,651,16,5,38032,29868,1114,5970,1079,16008,4716,15355,1909,1147,751,3106,3575,18867,,,0.496069203,0.224200037,0.980227697,0.01974601,50.57446809,0.028208586,0.345870681,0.342786035,0.980245597,0.000923532,0.421608823
Rajasthan,Alwar,Civil,13174,11729,5803,9242,3173,112,8,43241,23718,1992,7301,10230,22777,6876,11436,1145,319,244,6516,4897,21534,,,0.497988067,0.289880209,0.994334212,0.005642662,176.4938776,0.008060946,0.347208557,0.443206383,0.994352369,0.003222926,0.388809315
Rajasthan,Alwar,Criminal,25073,25372,17324,24979,4367,176,0,97291,82252,3537,11506,0,38735,5276,44696,6558,3500,2058,2201,5551,55398,,,0.569399334,0.303437076,0.978836903,0.021152818,47.25157844,0.030218312,0.396998109,0.463933876,0.978854778,0.000862853,0.379863907
Rajasthan,Alwar,Total,38247,37101,23127,34221,7540,288,8,140532,105970,5529,18807,10230,61512,12152,56132,7703,3819,2302,8717,10448,76932,,,0.547430141,0.299267788,0.98361239,0.016380494,61.0212766,0.023400706,0.38168069,0.457559328,0.983630352,0.0011143,0.38265712
Rajasthan,Dausa,Civil,3617,2267,787,1078,175,12,1,7937,5571,337,782,1247,3062,1789,2548,493,112,70,1025,702,3569,,,0.449609473,0.159486017,0.991055682,0.008818342,111.7887324,0.012597632,0.313477906,0.243842865,0.991073779,0.002041356,0.44846599
Rajasthan,Dausa,Criminal,9655,9217,4296,6659,869,7,0,30703,27285,687,2731,0,11975,2014,14559,2131,1852,820,318,619,18311,,,0.596371808,0.245407764,0.973260813,0.026706618,37.39707674,0.038152311,0.415803929,0.375211154,0.973278585,0.000682902,0.400451198
Rajasthan,Dausa,Total,13272,11484,5083,7737,1044,19,1,38640,32856,1024,3513,1247,15037,3803,17107,2624,1964,890,1343,1321,21880,,,0.566237934,0.227763257,0.976941591,0.02303253,43.36700337,0.032903615,0.394793909,0.348233946,0.97695943,0.000791918,0.410320101
Rajasthan,Jaipur Metro I,Civil,22180,12447,8302,9645,3938,418,109,57039,36914,1662,10972,7469,25058,11628,16045,3983,801,444,4729,6125,28079,,,0.492268583,0.247370266,0.992198457,0.007784011,128.1775281,0.011120016,0.343220803,0.378211681,0.992216576,0.002340629,0.407192349
Rajasthan,Jaipur Metro I,Criminal,95318,69791,40800,30891,11982,965,27,249774,236451,5692,6393,0,189580,6806,43266,8210,12879,5598,1470,4884,118077,,,0.47273346,0.175618056,0.977583825,0.022412171,44.61046615,0.032017387,0.329600473,0.268507615,0.977601677,0.000814624,0.445418085
Rajasthan,Jaipur Metro I,Total,117498,82238,49102,40536,15920,1383,136,306813,273365,7354,17365,7469,214638,18434,59311,12193,13680,6042,6199,11009,146156,,,0.476366789,0.188958131,0.980304028,0.019692713,50.7716366,0.028132447,0.332133712,0.288903648,0.980321929,0.000927133,0.438326113
Rajasthan,Tonk,Civil,4519,2840,1490,1897,245,8,2,11001,6710,623,2143,1525,3939,2159,4106,724,151,72,2167,1883,4448,,,0.404290129,0.1956008,0.993364843,0.006544265,150.6986301,0.00934895,0.281880233,0.29905982,0.993382982,0.002751883,0.440905947
Rajasthan,Tonk,Criminal,8947,8752,5358,5454,559,4,0,29074,24360,967,3748,0,8527,1476,17003,2045,1608,1397,537,1922,14258,,,0.49038693,0.206947549,0.951917455,0.048048151,20.79685265,0.068640216,0.341908872,0.316408199,0.951934838,0.000379768,0.443497424
Rajasthan,Tonk,Total,13466,11592,6848,7351,804,12,2,40075,31070,1590,5891,1525,12466,3635,21109,2769,1759,1469,2704,3805,18706,,,0.46676315,0.203837708,0.963319693,0.036655355,27.26190476,0.052364793,0.325437837,0.311653472,0.963337284,0.000497825,0.442826124
Rajasthan,Bikaner,Civil,5669,4381,2352,3606,1239,119,34,17400,10834,1016,3651,1899,6234,3725,6784,579,264,110,1285,2015,9384,,,0.539279352,0.287224872,0.993621056,0.006321476,156.7567568,0.00903068,0.375997775,0.43914656,0.993639201,0.00286251,0.383385871
Rajasthan,Bikaner,Criminal,12649,11024,7502,11687,2297,116,31,45306,39369,1166,4724,0,17292,2436,23329,2236,2691,1474,405,1605,27621,,,0.609640894,0.311894409,0.967444324,0.032533604,30.7159322,0.046476577,0.425055436,0.476864542,0.967461991,0.000560899,0.37575287
Rajasthan,Bikaner,Total,18318,15405,9854,15293,3536,235,65,62706,50203,2182,8375,1899,23526,6161,30113,2815,2955,1584,1690,3620,37005,,,0.590125504,0.305053662,0.974723715,0.025260338,39.56214511,0.036086197,0.411448864,0.466405522,0.974741514,0.000722438,0.377908136
Rajasthan,Ganganagar,Civil,6547,4689,2302,2626,783,47,1,16995,10891,898,2206,3000,7714,3661,4996,530,153,59,2091,3219,7204,,,0.423864439,0.2034008,0.996469758,0.003471405,283.25,0.00495915,0.295527885,0.31098547,0.996487954,0.005172382,0.432902803
Rajasthan,Ganganagar,Criminal,15465,13336,10292,13229,2197,61,1,54581,42396,2816,9369,0,22889,4297,24156,3209,2641,2021,1001,3790,29090,,,0.532959584,0.28375655,0.96295482,0.037026859,26.99357072,0.052895512,0.37159149,0.43384374,0.962972405,0.000492925,0.401473221
